date,temp_max,temp_min,precipitation,wind_speed_max
2021-01-01,24.1,12.6,0.0,17.4
2021-01-02,23.9,11.6,0.0,20.6
2021-01-03,23.5,12.3,0.0,24.1
2021-01-04,23.7,11.7,0.0,24.1
2021-01-05,23.0,11.4,0.0,25.4
2021-01-06,22.2,11.2,0.0,26.8
2021-01-07,22.4,10.8,0.0,24.9
2021-01-08,21.1,9.9,0.0,26.0
2021-01-09,21.0,10.6,0.0,26.7
2021-01-10,21.6,11.4,0.0,24.3
2021-01-11,21.6,11.4,0.0,27.2
2021-01-12,20.8,11.2,0.0,25.7
2021-01-13,22.5,11.4,0.0,22.1
2021-01-14,23.9,11.6,0.0,18.2
2021-01-15,24.1,11.4,0.0,20.1
2021-01-16,24.2,11.3,0.0,21.9
2021-01-17,25.6,9.9,0.0,16.3
2021-01-18,24.9,11.9,0.0,27.9
2021-01-19,23.6,12.4,0.0,28.8
2021-01-20,23.4,12.9,0.0,23.2
2021-01-21,24.7,11.6,0.0,22.9
2021-01-22,23.9,11.2,0.0,24.6
2021-01-23,24.2,12.1,0.0,18.4
2021-01-24,23.4,13.5,0.0,24.2
2021-01-25,22.4,10.4,0.0,26.5
2021-01-26,22.7,10.8,0.0,24.9
2021-01-27,24.2,11.9,0.0,20.9
2021-01-28,24.9,12.5,0.0,21.5
2021-01-29,26.9,12.4,0.0,17.8
2021-01-30,26.8,12.3,0.0,19.4
2021-01-31,25.5,11.9,0.0,24.9
2021-02-01,23.8,11.0,0.0,24.0
2021-02-02,23.7,11.6,0.0,26.0
2021-02-03,24.1,11.6,0.0,23.2
2021-02-04,24.1,9.4,0.0,21.5
2021-02-05,28.0,10.4,0.0,18.9
2021-02-06,26.0,11.9,0.0,22.1
2021-02-07,23.6,13.5,0.0,25.6
2021-02-08,24.6,14.3,0.1,23.0
2021-02-09,19.8,13.5,1.8,35.4
2021-02-10,21.8,12.6,0.0,25.3
2021-02-11,24.9,12.1,0.0,21.6
2021-02-12,26.5,12.3,0.0,21.3
2021-02-13,27.6,12.6,0.0,20.9
2021-02-14,27.0,13.8,0.0,21.7
2021-02-15,27.8,12.0,0.0,19.3
2021-02-16,30.6,14.1,0.0,20.6
2021-02-17,30.4,15.3,0.0,24.3
2021-02-18,26.6,15.6,0.1,22.0
2021-02-19,23.9,14.2,0.0,30.5
2021-02-20,24.5,14.8,0.0,27.0
2021-02-21,23.6,14.6,0.4,24.7
2021-02-22,24.8,12.6,0.0,24.0
2021-02-23,26.1,11.1,0.0,22.1
2021-02-24,28.0,11.4,0.0,21.8
2021-02-25,27.0,13.9,0.0,22.9
2021-02-26,27.5,13.4,0.0,21.1
2021-02-27,27.4,13.1,0.0,20.6
2021-02-28,29.1,13.3,0.0,21.2
2021-03-01,29.5,16.4,0.0,19.2
2021-03-02,28.3,15.4,0.0,21.6
2021-03-03,27.0,14.5,0.0,24.9
2021-03-04,27.6,14.2,0.0,19.0
2021-03-05,29.0,16.4,0.0,21.6
2021-03-06,26.9,14.9,0.0,28.7
2021-03-07,27.5,12.7,0.0,22.9
2021-03-08,28.2,12.8,0.0,22.4
2021-03-09,29.0,14.5,0.0,20.5
2021-03-10,29.1,16.3,0.0,22.5
2021-03-11,29.4,15.8,0.1,21.9
2021-03-12,29.6,17.2,0.0,26.1
2021-03-13,30.1,16.9,0.0,22.3
2021-03-14,30.8,16.7,0.0,25.2
2021-03-15,29.4,15.6,0.0,24.5
2021-03-16,29.2,15.3,0.0,21.8
2021-03-17,28.8,16.1,0.0,21.1
2021-03-18,28.7,16.8,0.1,19.4
2021-03-19,29.5,17.3,0.5,22.7
2021-03-20,29.7,15.9,0.0,24.6
2021-03-21,28.8,13.6,0.0,26.6
2021-03-22,29.2,13.3,0.0,26.9
2021-03-23,30.6,14.3,0.0,24.2
2021-03-24,29.9,15.5,0.0,23.4
2021-03-25,30.3,13.9,0.0,21.7
2021-03-26,29.2,14.4,0.0,23.5
2021-03-27,29.6,14.4,0.0,22.5
2021-03-28,30.1,14.6,0.0,22.8
2021-03-29,29.4,17.0,0.0,19.6
2021-03-30,31.0,16.8,0.0,26.7
2021-03-31,30.9,17.5,0.0,21.3
2021-04-01,31.5,14.8,0.0,21.3
2021-04-02,31.5,17.9,0.0,24.0
2021-04-03,30.5,17.3,0.0,22.0
2021-04-04,31.0,15.5,0.0,25.4
2021-04-05,29.5,17.8,0.4,18.5
2021-04-06,31.4,18.4,0.0,23.1
2021-04-07,30.6,17.0,0.0,27.2
2021-04-08,30.7,16.5,0.0,22.9
2021-04-09,31.6,15.9,0.0,28.6
2021-04-10,30.5,18.4,0.0,30.5
2021-04-11,30.5,19.2,0.0,33.0
2021-04-12,30.9,17.8,0.0,23.9
2021-04-13,31.8,17.7,0.0,23.6
2021-04-14,31.2,16.8,0.0,24.0
2021-04-15,31.0,15.8,0.0,23.8
2021-04-16,31.0,18.1,0.0,23.9
2021-04-17,30.2,18.2,1.1,19.2
2021-04-18,27.9,18.4,1.5,14.6
2021-04-19,25.8,17.8,1.8,16.3
2021-04-20,28.9,18.0,0.0,16.0
2021-04-21,29.5,17.5,0.0,22.7
2021-04-22,28.2,18.1,0.0,26.2
2021-04-23,27.6,17.3,0.5,22.1
2021-04-24,27.8,17.9,0.7,24.6
2021-04-25,27.9,19.1,1.2,25.7
2021-04-26,27.5,18.8,8.4,19.8
2021-04-27,28.5,18.6,0.8,15.2
2021-04-28,27.5,17.8,1.7,23.2
2021-04-29,26.4,17.8,14.7,16.1
2021-04-30,24.7,18.0,1.2,18.4
2021-05-01,26.5,18.3,11.5,12.8
2021-05-02,23.3,18.0,5.5,14.5
2021-05-03,25.8,17.2,6.0,16.2
2021-05-04,26.8,17.1,3.9,16.6
2021-05-05,26.5,17.6,4.0,12.8
2021-05-06,26.8,18.0,1.3,17.0
2021-05-07,25.5,17.9,13.0,9.7
2021-05-08,26.0,18.0,0.5,23.1
2021-05-09,28.0,17.2,0.0,12.2
2021-05-10,29.2,17.8,0.0,17.4
2021-05-11,29.9,18.4,0.0,18.9
2021-05-12,30.5,18.4,0.0,21.6
2021-05-13,30.5,18.8,0.0,28.7
2021-05-14,31.5,18.9,0.0,28.6
2021-05-15,31.4,19.6,0.0,28.6
2021-05-16,31.6,19.5,0.0,27.2
2021-05-17,32.8,19.8,0.0,23.0
2021-05-18,32.5,20.0,0.0,24.2
